"Row.names","Genotype","Soil_type.x","Block","Clade","Soil_inoculation","Sample_ID","Iteration","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","combo_line","Soil_type.y","Selection.y","avg","n","se","Response","Type_Response","Chao1","se.chao1","Shannon","InvSimpson"
"B1_1_3","Burbank","Hancock","B1","M","B1_5","B1_1","3","P","D1",2,"1.99",6.03,7.25,15.27,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",39.25,1,NA,-33.22,"Negative",21,0,1.39224056526347,3.03475552258686
"B1_1_5","Burbank","Hancock","B1","M","B1_7","B1_1","5","N","tube",NA,"0",22.42,3.73,26.15,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",51.1225,4,3.651863394,-28.7025,"Negative",11,0,1.44847913526722,3.48454210927828
"B1_10_3","Burbank","Hancock","B1","M","B1_4","B1_10","3","N","D10",2,"3.19",24.25,11.23,38.67,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",39.25,1,NA,-15,"Negative",15,0,1.23436517119361,2.66019178720172
"B1_2_4","Burbank","Hancock","B1","M","B1_6","B1_2","4","P","G2",2,"0.3",33.08,1.54,34.92,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",24.815,4,6.683149831,8.265,"Positive",10,0,1.36503943463296,3.08058476983966
"B1_2_5","Burbank","Hancock","B1","M","B1_2","B1_2","5","P","tube",NA,"1.59",51.37,7.13,60.09,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",51.1225,4,3.651863394,0.2475,"Positive",7,0,1.35763015146514,3.07467688611449
"B1_3_3","Burbank","Hancock","B1","M","B1_4","B1_3","3","N","D3",2,"3.18",24.59,7.86,35.63,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",39.25,1,NA,-14.66,"Negative",21,0,1.80192615207192,4.64296225382703
"B1_3_5","Burbank","Hancock","B1","M","B1_2","B1_3","5","P","tube",NA,"1.25",35.21,8.47,44.93,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",51.1225,4,3.651863394,-15.9125,"Negative",13,0,1.42142822623496,3.34086588738491
"B1_4_5","Burbank","Hancock","B1","M","B1_7","B1_4","5","N","tube",NA,"0.67",41.57,5.49,47.73,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",51.1225,4,3.651863394,-9.5525,"Negative",13,0,1.39201877811935,3.2317852778908
"B1_5_3","Burbank","Hancock","B1","M","B1_5","B1_5","3","P","D5",2,"2.86",23.12,7.89,33.87,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",39.25,1,NA,-16.13,"Negative",17,0,1.36817489398598,2.83340462243819
"B1_6_3","Burbank","Hancock","B1","M","B1_5","B1_6","3","P","D6",2,"2.19",28.14,7.98,38.31,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",39.25,1,NA,-11.11,"Negative",16,0,1.41846010353397,3.07877769281249
"B1_6_5","Burbank","Hancock","B1","M","B1_7","B1_6","5","N","tube",NA,"0.68",47.39,3.55,51.62,"",NA,NA,NA,NA,NA,"","Burbank_Sterile_S","Sterile","S",51.1225,4,3.651863394,-3.7325,"Negative",15,0,1.32932698139812,2.83674069768932
