Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Burbank,Hancock,B1,modern,Hancock,B1_1,1,none,E2,1,4.66,10.64,14.01,29.31,Y,,,,,,
Burbank,Sterile,B1,modern,Sterile,B1_2,1,none,1,1,,28.97,,28.97,Y,,,,,,
Burbank,Sterile,B1,modern,Sterile,B1_3,1,none,1,1,,,,0,,,,,,,
Burbank,Hancock,B1,modern,Hancock,B1_4,1,none,E3,1,5.49,49.7,14.89,70.08,Y,,,,,,
Burbank,Hancock,B1,modern,Hancock,B1_5,1,none,D11,1,6.69,57.47,12.05,76.21,Y,,,,,,
Burbank,Hancock,B1,modern,Hancock,B1_6,1,none,D11,1,5.99,73.5,13.33,92.82,Y,,,,,,
Burbank,Winterfell,B2,modern,Winterfell,B2_1,1,none,E6,1,4.01,37.11,14.68,55.8,Y,,,,,,
Burbank,Sterile,B2,modern,Sterile,B2_2,1,none,E7,1,3.03,58.93,12.38,74.34,Y,,,,,,
Burbank,Winterfell,B2,modern,Winterfell,B2_3,1,none,D12,1,3.61,103.32,14.09,121.02,Y,,,,,,
Burbank,Sterile,B2,modern,Sterile,B2_4,1,none,,1,NA,NA,NA,NA,,,,,,,
Burbank,Winterfell,B2,modern,Winterfell,B2_5,1,none,,1,2,61.05,10.56,73.61,,,,,,,
Burbank,Winterfell,B2,modern,Winterfell,B2_6,1,none,E5,1,,45.93,14.95,60.88,Y,,,,,,
Cor.C 95,Hancock,CC1,chiletanum,Hancock,CC1_1,1,none,G2,1,3.83,0,10.5,14.33,Y,,,,,,
Cor.C 95,Hancock,CC1,chiletanum,Hancock,CC1_2,1,none,E11,1,2.27,0,15.01,17.28,Y,,,,,,
Cor.C 95,Sterile,CC1,chiletanum,Sterile,CC1_3,1,none,F1,1,4.35,0,22.54,26.89,Y,,,,,,
Cor.C 95,Hancock,CC1,chiletanum,Hancock,CC1_4,1,none,F12,1,5.77,0,23.82,29.59,Y,,,,,,
Cor.C 95,Sterile,CC1,chiletanum,Sterile,CC1_5,1,none,F11,1,4.59,0,22.12,26.71,Y,,,,,,
Cor.C 95,Hancock,CC1,chiletanum,Hancock,CC1_6,1,none,F8,1,3.47,0,16.5,19.97,Y,,,,,,
Cor.C 95,Sterile,CC2,chiletanum,Sterile,CC2_1,1,none,F4,1,3.98,0,20.04,24.02,Y,,,,,,
Cor.C 95,Winterfell,CC2,chiletanum,Winterfell,CC2_2,1,none,F5,1,3.21,0,17.55,20.76,Y,,,,,,
Cor.C 95,Winterfell,CC2,chiletanum,Winterfell,CC2_3,1,none,F7,1,3.53,0,20.89,24.42,Y,,,,,,
Cor.C 95,Winterfell,CC2,chiletanum,Winterfell,CC2_4,1,none,F2,1,2.77,0,14.56,17.33,Y,,,,,,
Cor.C 95,Sterile,CC2,chiletanum,Sterile,CC2_5,1,none,E12,1,3.27,0,20.72,23.99,Y,,,,,,
Cor.C 95,Winterfell,CC2,chiletanum,Winterfell,CC2_6,1,none,F3,1,4.77,0,16,20.77,Y,,,,,,
G.Chili,Sterile,GC1,,Sterile,GC1_1,1,none,A9,1,3.03,0,13.71,16.74,Y,,,,,,
G.Chili,Sterile,GC1,,Sterile,GC1_2,1,none,A8,1,2.8,36.26,12.33,51.39,Y,,,,,,
G.Chili,Hancock,GC1,,Hancock,GC1_3,1,none,A6,1,2.59,50.65,13.2,66.44,Y,,,,,,
G.Chili,Hancock,GC1,,Hancock,GC1_4,1,none,A7,1,3.19,10.81,17.49,31.49,Y,,,,,,
G.Chili,Hancock,GC1,,Hancock,GC1_5,1,none,,1,NA,NA,NA,NA,,,,,,,
G.Chili,Hancock,GC1,,Hancock,GC1_6,1,none,B1,1,3.1,34.53,13.87,51.5,Y,,,,,,
G.Chili,Winterfell,GC2,,Winterfell,GC2_1,1,none,B3,1,2.7,61.09,13.27,77.06,Y,,,,,,
G.Chili,Winterfell,GC2,,Winterfell,GC2_2,1,none,B2,1,3.92,28.91,13.1,45.93,Y,,,,,,
G.Chili,Winterfell,GC2,,Winterfell,GC2_3,1,none,C11,1,2.2,40.83,14.79,57.82,Y,,,,,,
G.Chili,Winterfell,GC2,,Winterfell,GC2_4,1,none,B4,1,3.14,60.67,13.03,76.84,Y,,,,,,
G.Chili,Sterile,GC2,,Sterile,GC2_5,1,none,,1,NA,NA,NA,NA,,,,,,,
G.Chili,Sterile,GC2,,Sterile,GC2_6,1,none,C10,1,1.49,67.84,12,81.33,Y,,,,,,
Huagalina,Sterile,H1,andigenum,Sterile,H1_1,1,none,F9,1,2.26,42.47,12.34,57.07,Y,,,,,,
Huagalina,Sterile,H1,andigenum,Sterile,H1_2,1,none,G6,1,3.74,35.77,12.24,51.75,Y,,,,,,
Huagalina,Hancock,H1,andigenum,Hancock,H1_3,1,none,,1,NA,NA,NA,NA,,,,,,,
Huagalina,Hancock,H1,andigenum,Hancock,H1_4,1,none,G5,1,2.81,22.01,12.23,37.05,Y,,,,,,
Huagalina,Hancock,H1,andigenum,Hancock,H1_5,1,none,G1,1,2.63,42.51,11.75,56.89,Y,,,,,,
Huagalina,Hancock,H1,andigenum,Hancock,H1_6,1,none,G4,1,2.41,1.27,16.3,19.98,Y,,,,,,
Huagalina,Winterfell,H2,andigenum,Winterfell,H2_1,1,none,G3,1,1.87,27.74,15.63,45.24,Y,,,,,,
Huagalina,Sterile,H2,andigenum,Sterile,H2_2,1,none,,1,NA,NA,NA,NA,,,,,,,
Huagalina,Winterfell,H2,andigenum,Winterfell,H2_3,1,none,,1,4.38,40.67,17.08,62.13,,,,,,,
Huagalina,Winterfell,H2,andigenum,Winterfell,H2_4,1,none,E10,1,0.61,18.49,11.28,30.38,Y,,,,,,
Huagalina,Winterfell,H2,andigenum,Winterfell,H2_5,1,none,F10,1,3.01,31.45,12.54,47,Y,,,,,,
Huagalina,Sterile,H2,andigenum,Sterile,H2_6,1,none,F6,1,1.03,27.64,,28.67,Y,,,,,,
Norkodah,Hancock,N1,modern,Hancock,N1_1,1,none,A5,1,2.03,,6.81,8.84,Y,,,,,,
Norkodah,Hancock,N1,modern,Hancock,N1_2,1,none,B8,1,1.94,2,5.49,9.43,Y,,,,,,
Norkodah,Hancock,N1,modern,Hancock,N1_3,1,none,B6,1,2.43,3.37,6.39,12.19,Y,,,,,,
Norkodah,Sterile,N1,modern,Sterile,N1_4,1,none,A10,1,1.08,,4.16,5.24,Y,,,,,,
Norkodah,Sterile,N1,modern,Sterile,N1_5,1,none,A2,1,1.12,24.38,5.01,30.51,Y,,,,,,
Norkodah,Hancock,N1,modern,Hancock,N1_6,1,none,A10,1,2.06,3.61,7.74,13.41,Y,,,,,,
Norkodah,Sterile,N2,modern,Sterile,N2_1,1,none,,1,NA,NA,NA,NA,,,,,,,
Norkodah,Sterile,N2,modern,Sterile,N2_2,1,none,B12,1,1.24,18.24,,19.48,Y,,,,,,
Norkodah,Winterfell,N2,modern,Winterfell,N2_3,1,none,C1,1,1.05,2.77,5.57,9.39,Y,,,,,,
Norkodah,Winterfell,N2,modern,Winterfell,N2_4,1,none,A7,1,1.22,12.07,10.08,23.37,Y,,,,,,
Norkodah,Winterfell,N2,modern,Winterfell,N2_5,1,none,B11,1,1.6,9.92,8.02,19.54,Y,,,,,,
Norkodah,Winterfell,N2,modern,Winterfell,N2_6,1,none,B9,1,1,4.53,7.55,13.08,Y,,,,,,
Papa Cacho,Hancock,PC1,chiletanum,Hancock,PC1_1,1,none,E9,1,15.11,,20.45,35.56,Y,,,,,,
Papa Cacho,Hancock,PC1,chiletanum,Hancock,PC1_2,1,none,E1,1,15.68,21.53,21.99,59.2,Y,,,,,,
Papa Cacho,Sterile,PC1,chiletanum,Sterile,PC1_3,1,none,E4,1,8.77,42.39,12.06,63.22,Y,,,,,,
Papa Cacho,Sterile,PC1,chiletanum,Sterile,PC1_4,1,none,E8,1,6.46,53.19,10.9,70.55,Y,,,,,,
Papa Cacho,Hancock,PC1,chiletanum,Hancock,PC1_5,1,none,D6,1,9.39,45.11,17.95,72.45,Y,,,,,,
Papa Cacho,Hancock,PC1,chiletanum,Hancock,PC1_6,1,none,,1,7.78,19.1,,26.88,,,,,,,
Papa Cacho,Winterfell,PC2,chiletanum,Winterfell,PC2_1,1,none,D4,1,,,17.65,17.65,Y,,,,,,
Papa Cacho,Sterile,PC2,chiletanum,Sterile,PC2_2,1,none,,1,4.44,,,4.44,,,,,,,
Papa Cacho,Winterfell,PC2,chiletanum,Winterfell,PC2_3,1,none,D3,1,5.14,42.42,17.68,65.24,Y,,,,,,
Papa Cacho,Winterfell,PC2,chiletanum,Winterfell,PC2_4,1,none,D7,1,3.8,41.42,15.62,60.84,Y,,,,,,
Papa Cacho,Winterfell,PC2,chiletanum,Winterfell,PC2_5,1,none,D5,1,,64.23,17.71,81.94,Y,,,,,,
Papa Cacho,Sterile,PC2,chiletanum,Sterile,PC2_6,1,none,,1,5.41,,,5.41,,,,,,,
Snowden,Sterile,S1,modern,Sterile,S1_1,1,none,C4,1,,61.22,11.75,72.97,Y,,,,,,
Snowden,Sterile,S1,modern,Sterile,S1_2,1,none,,1,3.13,,,3.13,,,,,,,
Snowden,Hancock,S1,modern,Hancock,S1_3,1,none,C7,1,2.92,84.18,10.74,97.84,Y,,,,,,
Snowden,Hancock,S1,modern,Hancock,S1_4,1,none,C3,1,5.79,51.47,8.54,65.8,Y,,,,,,
Snowden,Hancock,S1,modern,Hancock,S1_5,1,none,C8,1,1.5,78.99,12.65,93.14,Y,,,,,,
Snowden,Hancock,S1,modern,Hancock,S1_6,1,none,C6,1,1.35,68.22,8.93,78.5,Y,,,,,,
Snowden,Winterfell,S2,modern,Winterfell,S2_1,1,none,C9,1,,57.54,7.33,64.87,Y,,,,,,
Snowden,Sterile,S2,modern,Sterile,S2_2,1,none,,1,2.9,,,2.9,,,,,,,
