"","combo_line","Genotype","Soil_type","Selection","Iteration","avg","n","se"
"1","Burbank_Hancock_N","Burbank","Hancock","N",2,44.02,4,6.66351133662526
"2","Burbank_Hancock_N","Burbank","Hancock","N",3,22.7966666666667,3,1.62629777237886
"3","Burbank_Hancock_N","Burbank","Hancock","N",4,11.54,4,3.89370218001668
"4","Burbank_Hancock_N","Burbank","Hancock","N",5,33.5725,4,6.40930622220533
"5","Burbank_Hancock_none","Burbank","Hancock","none",1,47.8275,4,13.3493803695153
"6","Burbank_Hancock_P","Burbank","Hancock","P",2,58.505,4,5.01361562813372
"7","Burbank_Hancock_P","Burbank","Hancock","P",3,19.86,4,4.79321569164863
"8","Burbank_Hancock_P","Burbank","Hancock","P",4,14.385,4,7.38484089198948
"9","Burbank_Hancock_P","Burbank","Hancock","P",5,44.61,3,4.8481474125003
"10","Burbank_Sterile_none","Burbank","Sterile","none",1,43.95,2,14.98
"11","Burbank_Sterile_S","Burbank","Sterile","S",2,45.935,4,7.41567540192171
"12","Burbank_Sterile_S","Burbank","Sterile","S",3,39.25,1,NA
"13","Burbank_Sterile_S","Burbank","Sterile","S",4,24.815,4,6.68314983122978
"14","Burbank_Sterile_S","Burbank","Sterile","S",5,51.1225,4,3.65186339421397
"15","Burbank_Winterfell_N","Burbank","Winterfell","N",2,65.8025,4,4.48186228964404
"16","Burbank_Winterfell_N","Burbank","Winterfell","N",3,6.2,4,2.79928264620301
"17","Burbank_Winterfell_N","Burbank","Winterfell","N",4,29.9775,4,4.52627399192758
"18","Burbank_Winterfell_N","Burbank","Winterfell","N",5,54.9275,4,4.07876283326207
"19","Burbank_Winterfell_none","Burbank","Winterfell","none",1,61.8525,4,14.679676639831
"20","Burbank_Winterfell_P","Burbank","Winterfell","P",2,73.82,4,5.28588844629421
"21","Burbank_Winterfell_P","Burbank","Winterfell","P",3,15.5725,4,6.34885865727061
"22","Burbank_Winterfell_P","Burbank","Winterfell","P",4,31.03,4,3.84037324574925
"23","Burbank_Winterfell_P","Burbank","Winterfell","P",5,43.085,4,3.4530505836627
"24","Cor.C 95_Hancock_N","Cor.C 95","Hancock","N",2,10.76,4,2.01625477887427
"25","Cor.C 95_Hancock_N","Cor.C 95","Hancock","N",3,0,4,0
"26","Cor.C 95_Hancock_N","Cor.C 95","Hancock","N",4,24.33,4,2.32806428891758
"27","Cor.C 95_Hancock_N","Cor.C 95","Hancock","N",5,0.92,4,0.92
"28","Cor.C 95_Hancock_none","Cor.C 95","Hancock","none",1,0,4,0
"29","Cor.C 95_Hancock_P","Cor.C 95","Hancock","P",2,30.2325,4,1.23135003823716
"30","Cor.C 95_Hancock_P","Cor.C 95","Hancock","P",3,0,4,0
"31","Cor.C 95_Hancock_P","Cor.C 95","Hancock","P",4,10.79,4,5.12096670561331
"32","Cor.C 95_Hancock_P","Cor.C 95","Hancock","P",5,1.86,4,1.85001351346416
"33","Cor.C 95_Sterile_none","Cor.C 95","Sterile","none",1,0,4,0
"34","Cor.C 95_Sterile_S","Cor.C 95","Sterile","S",2,50.3133333333333,3,6.93632307334208
"35","Cor.C 95_Sterile_S","Cor.C 95","Sterile","S",3,0,4,0
"36","Cor.C 95_Sterile_S","Cor.C 95","Sterile","S",4,14.9725,4,8.78211760245405
"37","Cor.C 95_Sterile_S","Cor.C 95","Sterile","S",5,14.2366666666667,3,2.72259884016071
"38","Cor.C 95_Winterfell_N","Cor.C 95","Winterfell","N",2,57.91,4,5.25682889202226
"39","Cor.C 95_Winterfell_N","Cor.C 95","Winterfell","N",3,0,4,0
"40","Cor.C 95_Winterfell_N","Cor.C 95","Winterfell","N",4,12.5575,4,2.38223765607044
"41","Cor.C 95_Winterfell_N","Cor.C 95","Winterfell","N",5,4.105,4,4.105
"42","Cor.C 95_Winterfell_none","Cor.C 95","Winterfell","none",1,0,4,0
"43","Cor.C 95_Winterfell_P","Cor.C 95","Winterfell","P",2,63.2075,4,2.32022403731479
"44","Cor.C 95_Winterfell_P","Cor.C 95","Winterfell","P",3,0,4,0
"45","Cor.C 95_Winterfell_P","Cor.C 95","Winterfell","P",4,10.48,4,4.09921333916643
"46","Cor.C 95_Winterfell_P","Cor.C 95","Winterfell","P",5,1.1125,4,1.10252267550377
"47","G.Chili_Hancock_N","G.Chili","Hancock","N",2,56.14,4,3.75123979505443
"48","G.Chili_Hancock_N","G.Chili","Hancock","N",3,30.3325,4,4.22904712474729
"49","G.Chili_Hancock_N","G.Chili","Hancock","N",4,31.5125,4,2.23388814625979
"50","G.Chili_Hancock_N","G.Chili","Hancock","N",5,42.605,4,9.88603602731314
"51","G.Chili_Hancock_none","G.Chili","Hancock","none",1,31.9966666666667,3,11.5703606013142
"52","G.Chili_Hancock_P","G.Chili","Hancock","P",2,55.6875,4,4.33843361710191
"53","G.Chili_Hancock_P","G.Chili","Hancock","P",3,32.105,4,3.31401191910953
"54","G.Chili_Hancock_P","G.Chili","Hancock","P",4,26.845,4,9.65007815166972
"55","G.Chili_Hancock_P","G.Chili","Hancock","P",5,37.605,4,0.366344555484769
"56","G.Chili_Sterile_none","G.Chili","Sterile","none",1,34.7,3,19.5992482849045
"57","G.Chili_Sterile_S","G.Chili","Sterile","S",2,55.79,4,3.23067846331592
"58","G.Chili_Sterile_S","G.Chili","Sterile","S",3,41.0225,4,8.99979015959076
"59","G.Chili_Sterile_S","G.Chili","Sterile","S",4,35.68,3,4.6397090426017
"60","G.Chili_Sterile_S","G.Chili","Sterile","S",5,49.015,4,2.46099742651904
"61","G.Chili_Winterfell_N","G.Chili","Winterfell","N",2,62.175,4,5.06725188506223
"62","G.Chili_Winterfell_N","G.Chili","Winterfell","N",3,13.135,4,2.16641601114221
"63","G.Chili_Winterfell_N","G.Chili","Winterfell","N",4,31.81,4,5.94466287241477
"64","G.Chili_Winterfell_N","G.Chili","Winterfell","N",5,39.1,4,4.65648293600796
"65","G.Chili_Winterfell_none","G.Chili","Winterfell","none",1,47.875,4,7.89330676375033
"66","G.Chili_Winterfell_P","G.Chili","Winterfell","P",2,48.885,4,3.71754511292959
"67","G.Chili_Winterfell_P","G.Chili","Winterfell","P",3,12.99,3,2.95469682595919
"68","G.Chili_Winterfell_P","G.Chili","Winterfell","P",4,41.5825,4,3.97161045211301
"69","G.Chili_Winterfell_P","G.Chili","Winterfell","P",5,33.035,4,3.80298238228893
"70","Huagalina_Hancock_N","Huagalina","Hancock","N",2,1.2,3,1.15529217083818
"71","Huagalina_Hancock_N","Huagalina","Hancock","N",3,0,4,0
"72","Huagalina_Hancock_N","Huagalina","Hancock","N",4,4.2375,4,4.2375
"73","Huagalina_Hancock_N","Huagalina","Hancock","N",5,17.365,4,1.77263222355908
"74","Huagalina_Hancock_none","Huagalina","Hancock","none",1,21.93,3,11.9050297493678
"75","Huagalina_Hancock_P","Huagalina","Hancock","P",2,0.5375,4,0.327321834489136
"76","Huagalina_Hancock_P","Huagalina","Hancock","P",3,0,4,0
"77","Huagalina_Hancock_P","Huagalina","Hancock","P",4,0,4,0
"78","Huagalina_Hancock_P","Huagalina","Hancock","P",5,17.845,4,2.52285057028751
"79","Huagalina_Sterile_none","Huagalina","Sterile","none",1,35.2933333333333,3,4.28768132107682
"80","Huagalina_Sterile_S","Huagalina","Sterile","S",2,2.5325,4,1.47172447036348
"81","Huagalina_Sterile_S","Huagalina","Sterile","S",3,0.24,4,0.24
"82","Huagalina_Sterile_S","Huagalina","Sterile","S",4,13.41,4,3.08573330020597
"83","Huagalina_Sterile_S","Huagalina","Sterile","S",5,25.0425,4,2.83594891526628
"84","Huagalina_Winterfell_N","Huagalina","Winterfell","N",2,4.655,4,1.39897879421622
"85","Huagalina_Winterfell_N","Huagalina","Winterfell","N",3,0.015,4,0.015
"86","Huagalina_Winterfell_N","Huagalina","Winterfell","N",4,8.565,4,3.37306611260438
"87","Huagalina_Winterfell_N","Huagalina","Winterfell","N",5,22.39,4,2.4921175734704
"88","Huagalina_Winterfell_none","Huagalina","Winterfell","none",1,29.5875,4,4.59037466698889
"89","Huagalina_Winterfell_P","Huagalina","Winterfell","P",2,3.8075,4,1.49906290172672
"90","Huagalina_Winterfell_P","Huagalina","Winterfell","P",3,0.2075,4,0.2075
"91","Huagalina_Winterfell_P","Huagalina","Winterfell","P",4,3.09,4,2.92247326762795
"92","Huagalina_Winterfell_P","Huagalina","Winterfell","P",5,28.5266666666667,3,2.87007742830127
"93","Norkodah_Hancock_N","Norkodah","Hancock","N",2,38.6525,4,2.50159074390676
"94","Norkodah_Hancock_none","Norkodah","Hancock","none",1,2.245,4,0.82809520386648
"95","Norkodah_Hancock_P","Norkodah","Hancock","P",2,44.67,4,3.39669692495518
"96","Norkodah_Sterile_none","Norkodah","Sterile","none",1,14.2066666666667,3,7.32113227429868
"97","Norkodah_Sterile_S","Norkodah","Sterile","S",2,45.305,4,2.72746066271663
"98","Norkodah_Winterfell_N","Norkodah","Winterfell","N",2,55.1425,4,5.43963751090089
"99","Norkodah_Winterfell_none","Norkodah","Winterfell","none",1,7.3225,4,2.19486284689196
"100","Norkodah_Winterfell_P","Norkodah","Winterfell","P",2,56.115,4,7.97244682223302
"101","Papa Cacho_Hancock_N","Papa Cacho","Hancock","N",2,46.6675,4,8.66348888054537
"102","Papa Cacho_Hancock_N","Papa Cacho","Hancock","N",3,9.16,4,5.48120272689611
"103","Papa Cacho_Hancock_N","Papa Cacho","Hancock","N",4,35.3475,4,3.43337146014429
"104","Papa Cacho_Hancock_N","Papa Cacho","Hancock","N",5,37.8125,4,6.02312816704631
"105","Papa Cacho_Hancock_none","Papa Cacho","Hancock","none",1,21.435,4,9.24403456289514
"106","Papa Cacho_Hancock_P","Papa Cacho","Hancock","P",2,51.015,4,5.16481767990572
"107","Papa Cacho_Hancock_P","Papa Cacho","Hancock","P",3,8.5375,4,5.38050551373506
"108","Papa Cacho_Hancock_P","Papa Cacho","Hancock","P",4,30.0875,4,1.69809881436074
"109","Papa Cacho_Hancock_P","Papa Cacho","Hancock","P",5,35.39,4,5.21813983458985
"110","Papa Cacho_Sterile_none","Papa Cacho","Sterile","none",1,31.86,3,16.2322179630511
