"","Genotype","Soil_type.x","Block","Clade.x","Soil_inoculation","Sample_ID","Iteration","rep","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","Clade.y","Soil_type.y","Selection.y","avg","n","se","Response"
"1","Burbank","Hancock","B1","M","Hancock","B1_1",1,"","none","E2",1,"4.66",10.64,14.01,29.31,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,-33.31
"2","Burbank","Hancock","B1","M","Hancock","B1_4",1,"","none","E3",1,"5.49",49.7,14.89,70.08,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,5.75
"3","Burbank","Hancock","B1","M","Hancock","B1_5",1,"","none","D11",1,"6.69",57.47,12.05,76.21,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,13.52
"4","Burbank","Hancock","B1","M","Hancock","B1_6",1,"","none","D11",1,"5.99",73.5,13.33,92.82,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,29.55
"5","Burbank","Sterile","B1","M","Sterile","B1_2",1,"","none","1",1,"",28.97,NA,28.97,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,-14.98
"6","Burbank","Sterile","B2","M","Sterile","B2_2",1,"","none","E7",1,"3.03",58.93,12.38,74.34,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,14.98
"7","Burbank","Winterfell","B2","M","Winterfell","B2_1",1,"","none","E6",1,"4.01",37.11,14.68,55.8,"Y",NA,NA,NA,NA,NA,"NO PLANT","M","Sterile","none",43.95,2,14.98,-6.84
"8","Burbank","Winterfell","B2","M","Winterfell","B2_3",1,"","none","D12",1,"3.61",103.32,14.09,121.02,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,59.37
"9","Burbank","Winterfell","B2","M","Winterfell","B2_5",1,"","none","",1,"2",61.05,10.56,73.61,"",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,17.1
"10","Burbank","Winterfell","B2","M","Winterfell","B2_6",1,"","none","E5",1,"",45.93,14.95,60.88,"Y",NA,NA,NA,NA,NA,"","M","Sterile","none",43.95,2,14.98,1.98
"11","Cor.C 95","Hancock","CC1","C","Hancock","CC1_1",1,"","none","G2",1,"3.83",0,10.5,14.33,"Y",NA,NA,NA,NA,NA,"","C","Sterile","none",0,4,0,0
"12","Cor.C 95","Hancock","CC1","C","Hancock","CC1_2",1,"","none","E11",1,"2.27",0,15.01,17.28,"Y",NA,NA,NA,NA,NA,"","C","Sterile","none",0,4,0,0
