Genotype,Species,Clade,Soil,Legacy,Specificity ,LiveSoil,Trt,ID,Initial_weight,tubermass,AG_biomass,UG_biomass,total_veg
Huagalina,Potato,Andigenum,Huagalina,Andigenum,con,Y,A-A,93,n/a,,,2.22,2.22
Huagalina,Potato,Andigenum,Wac5,Andigenum,con,Y,A-A,75,n/a,,,,0
Huagalina,Potato,Andigenum,Wac663,Andigenum,con,Y,A-A,79,n/a,22.8,8.7,1.27,9.97
Wac5,Potato,Andigenum,Huagalina,Andigenum,con,Y,A-A,83,n/a,17.53,6.19,0.63,6.82
Wac5,Potato,Andigenum,Wac5,Andigenum,con,Y,A-A,47,n/a,32.1,4.29,0.29,4.58
Wac5,Potato,Andigenum,Wac663,Andigenum,con,Y,A-A,81,n/a,12.2,5.14,0.21,5.35
Wac663,Potato,Andigenum,Huagalina,Andigenum,con,Y,A-A,45,n/a,,,0.41,0.41
Wac663,Potato,Andigenum,Wac5,Andigenum,con,Y,A-A,4,n/a,,,,0
Wac663,Potato,Andigenum,Wac663,Andigenum,con,Y,A-A,7,n/a,0,8.48,0.41,8.89
Huagalina,Potato,Andigenum,Cor.C.95(B),Chiletanum,hetero,Y,A-C,53,n/a,17.67,8.55,1.09,9.64
Huagalina,Potato,Andigenum,Papa Cacho (B),Chiletanum,hetero,Y,A-C,95,n/a,66.66,10.19,1.39,11.58
Wac5,Potato,Andigenum,Cor.C.95(B),Chiletanum,hetero,Y,A-C,42,n/a,17.11,8.85,0.57,9.42
Wac5,Potato,Andigenum,Papa Cacho (B),Chiletanum,hetero,Y,A-C,58,n/a,15.4,3.03,0.72,3.75
Wac663,Potato,Andigenum,Cor.C.95(B),Chiletanum,hetero,Y,A-C,59,n/a,,,0.48,0.48
Wac663,Potato,Andigenum,Papa Cacho (B),Chiletanum,hetero,Y,A-C,24,n/a,4.48,6.89,0.24,7.13
Wac5,Potato,Andigenum,Burbank (B),Modern,hetero,Y,A-M,49,n/a,62.27,7.16,0.49,7.65
Wac5,Potato,Andigenum,G.Chili,Modern,hetero,Y,A-M,28,n/a,0,6.51,0.34,6.85
Wac5,Potato,Andigenum,Ranger (B),Modern,hetero,Y,A-M,87,n/a,1.36,13.67,1.08,14.75
Wac5,Potato,Andigenum,Snowden (B),Modern,hetero,Y,A-M,8,n/a,4.9,8.58,0.47,9.05
Huagalina,Potato,Andigenum,Burbank (B),Modern,hetero,Y,A-M,46,n/a,12.2,11.52,1.18,12.7
Huagalina,Potato,Andigenum,G.Chili,Modern,hetero,Y,A-M,65,n/a,7.81,11.66,0.16,11.82
Huagalina,Potato,Andigenum,Ranger (B),Modern,hetero,Y,A-M,97,n/a,,,,0
Huagalina,Potato,Andigenum,Snowden (B),Modern,hetero,Y,A-M,60,n/a,,,,0
Wac663,Potato,Andigenum,Burbank (B),Modern,hetero,Y,A-M,66,n/a,1.71,8.26,0.73,8.99
Wac663,Potato,Andigenum,G.Chili,Modern,hetero,Y,A-M,63,n/a,0.55,6.23,0.22,6.45
Wac663,Potato,Andigenum,Ranger (B),Modern,hetero,Y,A-M,44,n/a,0,1.67,0.01,1.68
Wac663,Potato,Andigenum,Snowden (B),Modern,hetero,Y,A-M,86,n/a,21.18,6.31,0.35,6.66
Huagalina,Potato,Andigenum,Sterile,Sterile,Sterile,N,A-S,92,n/a,,,,0
Wac5,Potato,Andigenum,Sterile,Sterile,Sterile,N,A-S,74,n/a,1.25,7.56,0.73,8.29
Wac663,Potato,Andigenum,Sterile,Sterile,Sterile,N,A-S,6,n/a,3.58,10.88,0.4,11.28
Cor.C.56,Potato,Chiletanum,Huagalina,Andigenum,hetero,Y,C-A,70,n/a,40.89,9.06,1.74,10.8
Cor.C.56,Potato,Chiletanum,Wac5,Andigenum,hetero,Y,C-A,67,n/a,73.28,8.96,2.01,10.97
Cor.C.56,Potato,Chiletanum,Wac663,Andigenum,hetero,Y,C-A,69,n/a,,,,0
Cor.C.95,Potato,Chiletanum,Huagalina,Andigenum,hetero,Y,C-A,99,n/a,,,,0
Cor.C.95,Potato,Chiletanum,Wac5,Andigenum,hetero,Y,C-A,56,n/a,32.61,8.42,4.33,12.75
Cor.C.95,Potato,Chiletanum,Wac663,Andigenum,hetero,Y,C-A,54,n/a,26.3,7.51,1.35,8.86
Papa Cacho ,Potato,Chiletanum,Huagalina,Andigenum,hetero,Y,C-A,16,n/a,62.46,2.11,0.15,2.26
Papa Cacho ,Potato,Chiletanum,Wac5,Andigenum,hetero,Y,C-A,26,n/a,122.73,,0.22,0.22
Papa Cacho ,Potato,Chiletanum,Wac663,Andigenum,hetero,Y,C-A,82,n/a,,,,0
Cor.C.56,Potato,Chiletanum,Cor.C.95(B),Chiletanum,con,Y,C-C,2,n/a,,15.97,0.53,16.5
Cor.C.56,Potato,Chiletanum,Papa Cacho (B),Chiletanum,con,Y,C-C,98,n/a,,,2.45,2.45
Cor.C.95,Potato,Chiletanum,Cor.C.95(B),Chiletanum,con,Y,C-C,20,n/a,38.22,3.29,0.18,3.47
Cor.C.95,Potato,Chiletanum,Papa Cacho (B),Chiletanum,con,Y,C-C,33,n/a,19.32,6.33,1.21,7.54
Papa Cacho ,Potato,Chiletanum,Cor.C.95(B),Chiletanum,con,Y,C-C,36,n/a,69.32,5.33,0.39,5.72
Papa Cacho ,Potato,Chiletanum,Papa Cacho (B),Chiletanum,con,Y,C-C,57,n/a,46.85,1.9,0.14,2.04
Cor.C.56,Potato,Chiletanum,Burbank (B),Modern,hetero,Y,C-M,34,n/a,34.93,17.75,3.54,21.29
Cor.C.56,Potato,Chiletanum,G.Chili,Modern,hetero,Y,C-M,90,n/a,1.44,18.76,2.22,20.98
Cor.C.56,Potato,Chiletanum,Ranger (B),Modern,hetero,Y,C-M,22,n/a,12.84,8.21,12.82,21.03
Cor.C.56,Potato,Chiletanum,Snowden (B),Modern,hetero,Y,C-M,5,n/a,,,,0
Cor.C.95,Potato,Chiletanum,Burbank (B),Modern,hetero,Y,C-M,27,n/a,10.4,3.95,0.1,4.05
Cor.C.95,Potato,Chiletanum,G.Chili,Modern,hetero,Y,C-M,40,n/a,82.23,12.4,2.43,14.83
Cor.C.95,Potato,Chiletanum,Ranger (B),Modern,hetero,Y,C-M,91,n/a,18.85,,,0
Cor.C.95,Potato,Chiletanum,Snowden (B),Modern,hetero,Y,C-M,50,n/a,,0.57,0.33,0.9
Papa Cacho ,Potato,Chiletanum,Burbank (B),Modern,hetero,Y,C-M,37,n/a,105.83,6.65,0.67,7.32
Papa Cacho ,Potato,Chiletanum,G.Chili,Modern,hetero,Y,C-M,9,n/a,15.57,9.18,0.41,9.59
Papa Cacho ,Potato,Chiletanum,Ranger (B),Modern,hetero,Y,C-M,21,n/a,68.29,1.84,0.15,1.99
Papa Cacho ,Potato,Chiletanum,Snowden (B),Modern,hetero,Y,C-M,17,n/a,,,,0
Cor.C.56,Potato,Chiletanum,Sterile,Sterile,Sterile,N,C-S,14,n/a,25.11,4.55,1.78,6.33
Cor.C.95,Potato,Chiletanum,Sterile,Sterile,Sterile,N,C-S,32,n/a,17.03,1,0.14,1.14
Papa Cacho ,Potato,Chiletanum,Sterile,Sterile,Sterile,N,C-S,89,n/a,95.75,2.36,0.45,2.81
