,Row.names,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Chao1,se.chao1,Shannon,Simpson
3,B1_1_5,Burbank,Hancock,B1,M,B1_7,B1_1,5,Negative,tube,NA,0,22.42,3.73,26.15,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-28.7025,239,0.099790576,4.711637805,0.980021475
4,B1_10_3,Burbank,Hancock,B1,M,B1_4,B1_10,3,Negative,D10,2,3.19,24.25,11.23,38.67,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-15,213,0,4.485807046,0.979229304
7,B1_3_3,Burbank,Hancock,B1,M,B1_4,B1_3,3,Negative,D3,2,3.18,24.59,7.86,35.63,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-14.66,257,1.580831186,4.970976104,0.98699568
10,B1_4_5,Burbank,Hancock,B1,M,B1_7,B1_4,5,Negative,tube,NA,0.67,41.57,5.49,47.73,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-9.5525,214,0.166276803,4.286286802,0.957021113
15,B1_6_5,Burbank,Hancock,B1,M,B1_7,B1_6,5,Negative,tube,NA,0.68,47.39,3.55,51.62,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-3.7325,384.25,0.73669166,5.072279256,0.987653484
16,B1_7_4,Burbank,Hancock,B1,M,B1_7,B1_7,4,Negative,G7,2,0.28,3.4,1.79,5.47,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,24.815,4,6.683149831,-21.415,203,0.124691738,4.856832045,0.989280178
23,B2_4_4,Burbank,Winterfell,B2,M,B2_5,B2_4,4,Negative,D4,2,0.55,18.53,2.85,21.93,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,24.815,4,6.683149831,-6.285,244,0.249487179,4.747699365,0.983891149
24,B2_5_3,Burbank,Winterfell,B2,M,B2_6,B2_5,3,Negative,C11,1,1.92,0,10.63,12.55,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-39.25,278,0,4.90073035,0.986486028
27,B2_8_3,Burbank,Winterfell,B2,M,B2_6,B2_8,3,Negative,H11,1,1.36,3.13,7.58,12.07,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-36.12,189,0,4.668288852,0.985839397
28,B2_9_3,Burbank,Winterfell,B2,M,B2_6,B2_9,3,Negative,F11,1,1.52,12.1,8.04,21.66,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-27.15,91,0,4.229038851,0.982338732
31,CC1_1_5,Cor.C 95,Hancock,CC1,C,CC1_5,CC1_1,5,Negative,G1,1,1.31,0,13.69,15,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,136,0.498158373,4.593951683,0.986649441
36,CC1_3_5,Cor.C 95,Hancock,CC1,C,CC1_5,CC1_3,5,Negative,G3,1,2.03,0,9.12,11.15,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,135,0.249072353,4.597760725,0.987491902
38,CC1_4_3,Cor.C 95,Hancock,CC1,C,CC1_1,CC1_4,3,Negative,A4,1,0.36,0,2.79,3.15,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,112,0,3.483494309,0.924072169
40,CC1_5_3,Cor.C 95,Hancock,CC1,C,CC1_1,CC1_5,3,Negative,A5,1,0.79,0,2.28,3.07,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,168,0,4.684779893,0.98587653
41,CC1_5_4,Cor.C 95,Hancock,CC1,C,CC1_6,CC1_5,4,Negative,F5,1,1.24,19.45,2.09,22.78,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.9725,4,8.782117602,4.4775,258,0.099806013,5.005148387,0.989798607
42,CC1_5_5,Cor.C 95,Hancock,CC1,C,CC1_5,CC1_5,5,Negative,G5,1,2.12,0,9.1,11.22,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,107,0,4.058433292,0.971635321
44,CC1_6_3,Cor.C 95,Hancock,CC1,C,CC1_1,CC1_6,3,Negative,A6,1,0.11,0,1.3,1.41,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,147,0,4.276407657,0.970892289
45,CC1_7_3,Cor.C 95,Hancock,CC1,C,CC1_1,CC1_7,3,Negative,A7,1,0.52,0,2.26,2.78,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,133,0.249058377,4.210418817,0.975371319
51,CC2_10_3,Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_10,3,Negative,D10,1,1.49,0,5.98,7.47,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,75,0,3.770574415,0.960427231
52,CC2_10_5,Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_10,5,Negative,C10,1,1.28,0,6.74,8.02,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,182,0,4.191418396,0.965996136
57,CC2_3_3,Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_3,3,Negative,D3,1,1.39,0,7.07,8.46,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,123,0,4.171023599,0.973373853
58,CC2_3_5,Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_3,5,Negative,C3,1,1.61,0,10.12,11.73,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,203,0,3.448228258,0.887549841
61,CC2_4_4,Cor.C 95,Winterfell,CC2,C,CC2_5,CC2_4,4,Negative,F4,2,0.22,8.19,1.58,9.99,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.9725,4,8.782117602,-6.7825,185,0,4.470514121,0.978933945
63,CC2_5_3,Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_5,3,Negative,D5,1,1.31,0,5.72,7.03,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,321.75,1.423502848,5.31007502,0.992921634
66,CC2_6_5,Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_6,5,Negative,C6,1,1.06,16.42,5.76,23.24,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,2.183333333,155,0,4.003824731,0.953438355
69,CC2_9_3,Cor.C 95,Winterfell,CC2,C,CC2_1,CC2_9,3,Negative,D9,1,0,0,4.39,4.39,,NA,NA,NA,NA,NA,NO TUBER/BG?,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,107,0,4.288519025,0.982681995
70,CC2_9_5,Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_9,5,Negative,C9,1,1.68,0,7.97,9.65,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,153,0,3.834132768,0.939003614
72,GC1_1_5,G.Chili,Hancock,GC1,C,GC1_10,GC1_1,5,Negative,D1,1,1.11,31.27,3.64,36.02,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,49.015,4,2.460997427,-17.745,188,0.24933422,4.494049347,0.972551508
74,GC1_10_4,G.Chili,Hancock,GC1,C,GC1_3,GC1_10,4,Negative,C10,1,0.06,26.6,1.04,27.7,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-9.08,201,0.249377334,4.879766256,0.989309322
75,GC1_2_3,G.Chili,Hancock,GC1,C,GC1_1,GC1_2,3,Negative,E2,1,1.03,40.13,6.83,47.99,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-0.8925,77,2.334106242,3.905461679,0.972926719
77,GC1_3_3,G.Chili,Hancock,GC1,C,GC1_1,GC1_3,3,Negative,E3,1,0.92,19.53,5.59,26.04,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-21.4925,288,0.166377063,4.717444203,0.979131036
82,GC1_6_3,G.Chili,Hancock,GC1,C,GC1_1,GC1_6,3,Negative,E6,1,1.08,29.99,5.16,36.23,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-11.0325,114,0,4.392908544,0.983635045
83,GC1_6_5,G.Chili,Hancock,GC1,C,GC1_10,GC1_6,5,Negative,D6,1,0.77,52.24,8.41,61.42,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,49.015,4,2.460997427,3.225,178.5,1.297824618,4.244640686,0.959705751
85,GC1_8_5,G.Chili,Hancock,GC1,C,GC1_10,GC1_8,5,Negative,D8,1,1,65.25,6.25,72.5,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,49.015,4,2.460997427,16.235,171,0,4.187920533,0.966625715
88,GC2_1_3,G.Chili,Winterfell,GC2,C,GC2_8,GC2_1,3,Negative,C1,1,1.57,18.74,6.33,26.64,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-22.2825,107,0,4.257658548,0.981748228
90,GC2_2_4,G.Chili,Winterfell,GC2,C,GC2_4,GC2_2,4,Negative,A2,1,0.11,20.02,1.49,21.62,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-15.66,407.25,0.736701402,5.409966872,0.992336678
93,GC2_4_3,G.Chili,Winterfell,GC2,C,GC2_8,GC2_4,3,Negative,C4,1,1.39,8.34,6.34,16.07,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-32.6825,72,0,3.107695227,0.888974151
96,GC2_7_3,G.Chili,Winterfell,GC2,C,GC2_8,GC2_7,3,Negative,C7,1,1.69,13.62,5.65,20.96,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-27.4025,84,0.248507449,3.956123137,0.972712298
99,GC2_9_3,G.Chili,Winterfell,GC2,C,GC2_8,GC2_9,3,Negative,C9,1,0.55,11.84,5.72,18.11,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-29.1825,85,0,4.16475118,0.981581008
102,H1_10_5,Huagalina,Hancock,H1,A,H1_7,H1_10,5,Negative,B10,1,0.52,17.53,4.55,22.6,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-7.5125,269.25,0.736617983,4.484019939,0.974762963
103,H1_2_3,Huagalina,Hancock,H1,A,H1_8,H1_2,3,Negative,G2,1,0.6,0,3.45,4.05,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,185,1.817086074,4.843283447,0.989605804
104,H1_3_3,Huagalina,Hancock,H1,A,H1_8,H1_3,3,Negative,G3,1,0.57,0,3.38,3.95,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,161,0,4.711734832,0.988307131
105,H1_3_5,Huagalina,Hancock,H1,A,H1_7,H1_3,5,Negative,B3,1,0.34,12.75,2.99,16.08,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-12.2925,171,0.249267934,4.224406888,0.969418841
111,H1_5_5,Huagalina,Hancock,H1,A,H1_7,H1_5,5,Negative,B5,1,0.75,17.79,4.73,23.27,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-7.2525,266.75,1.423431627,4.829979587,0.984469399
115,H1_7_4,Huagalina,Hancock,H1,A,H1_5,H1_7,4,Negative,G7,1,0.38,0,2.45,2.83,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,13.41,4,3.0857333,-13.41,148,0,4.558750818,0.985830986
117,H1_8_2,Huagalina,Hancock,H1,A,H1_6,H1_8,2,Negative,B8,1,2.86,0,4.87,7.73,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,2.5325,4,1.47172447,-2.5325,151,0,4.563152757,0.985493818
119,H1_9_3,Huagalina,Hancock,H1,A,H1_8,H1_9,3,Negative,G9,1,0.86,0,2.79,3.65,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,148,0,4.445065037,0.979958759
120,H1_9_5,Huagalina,Hancock,H1,A,H1_7,H1_9,5,Negative,B9,1,0.27,21.39,3.71,25.37,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-3.6525,193,0,4.415096818,0.976815122
123,H2_1_5,Huagalina,Winterfell,H2,A,H2_7,H2_1,5,Negative,C1,2,1.27,21.21,2.76,25.24,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-3.8325,59,0,2.985727215,0.918190479
125,H2_2_3,Huagalina,Winterfell,H2,A,H2_7,H2_2,3,Negative,F2,1,0.33,0,4.23,4.56,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,138,0,4.540600841,0.986269391
126,H2_2_5,Huagalina,Winterfell,H2,A,H2_7,H2_2,5,Negative,C2,2,0.99,29.59,4.71,35.29,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,4.5475,754.1666667,0.543575715,5.867169517,0.994335216
