,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Submission_ID,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,Biomass_NonTuber,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Type_Response
352,Ranger,Hancock,R1,M,R1_9,R1_6,3,R1_6_3,P,H6,1,0.03,0,0.59,0.62,0.62,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,-0.33,Negative
530,Ranger,Sterile,R2,M,Sterile,R2_5,4,R2_5_4,S,C5,2,0.04,29.89,0.61,30.54,0.65,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-0.0225,Negative
439,G.Chili,Winterfell,GC2,C,GC2_8,GC2_9,4,GC2_9_4,P,A9,1,0.08,43.38,0.6,44.06,0.68,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,7.7,Positive
406,Wac 5,Winterfell,W2,A,W2_7,W2_5,3,W2_5_3,P,,NA,0,0,0.75,0.75,0.75,,NA,NA,NA,NA,NA,NO TUBER/BG?,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,-11.66,Negative
529,Ranger,Sterile,R2,M,Sterile,R2_2,4,R2_2_4,S,C2,2,0.07,23.8,0.71,24.58,0.78,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-6.1125,Negative
423,G.Chili,Hancock,GC1,C,GC1_3,GC1_9,4,GC1_9_4,N,C9,1,0.1,29.5,0.73,30.33,0.83,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-6.18,Negative
463,Ranger,Hancock,R1,M,R1_7,R1_8,4,R1_8_4,N,E8,1,0.03,34.48,0.91,35.42,0.94,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,4.5675,Positive
407,Wac 663,Hancock,WA1,A,WA1_1,WA1_1,3,WA1_1_3,N,,NA,0.98,0,0,0.98,0.98,,NA,NA,NA,NA,NA,NO TUBER,Wac 663_Sterile_S,Sterile,S,4.125,2,1.655,-4.125,Negative
537,Ranger,Winterfell,R2,M,R2_2,R2_7,4,R2_7_4,P,C7,2,0.09,23.22,0.97,24.28,1.06,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-6.6925,Negative
531,Ranger,Winterfell,R2,M,R2_10,R2_1,4,R2_1_4,N,C1,2,0.06,36.18,1.01,37.25,1.07,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,6.2675,Positive
426,G.Chili,Hancock,GC1,C,GC1_10,GC1_6,4,GC1_6_4,P,C6,1,0.15,27.83,0.93,28.91,1.08,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-7.85,Negative
424,G.Chili,Hancock,GC1,C,GC1_3,GC1_10,4,GC1_10_4,N,C10,1,0.06,26.6,1.04,27.7,1.1,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-9.08,Negative
427,G.Chili,Hancock,GC1,C,GC1_10,GC1_7,4,GC1_7_4,P,C7,1,0.23,45.32,0.88,46.43,1.11,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,9.64,Positive
430,G.Chili,Sterile,GC1,C,Sterile,GC1_2,4,GC1_2_4,S,C2,1,0.09,35.19,1.02,36.3,1.11,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-0.49,Negative
522,Papa Cacho,Hancock,PC1,C,PC1_6,PC1_9,4,PC1_9_4,N,A9,2,0.13,44.09,1.02,45.24,1.15,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,25.55,3,4.01661964,18.54,Positive
429,G.Chili,Sterile,GC1,C,Sterile,GC1_1,4,GC1_1_4,S,C1,1,0.08,43.95,1.07,45.1,1.15,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,8.27,Positive
425,G.Chili,Hancock,GC1,C,GC1_10,GC1_5,4,GC1_5_4,P,C5,1,0.11,0,1.04,1.15,1.15,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-35.68,Negative
428,G.Chili,Hancock,GC1,C,GC1_10,GC1_8,4,GC1_8_4,P,C8,1,0.15,34.23,1.05,35.43,1.2,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-1.45,Negative
469,Ranger,Sterile,R1,M,Sterile,R1_3,4,R1_3_4,S,E3,1,0.14,31.35,1.09,32.58,1.23,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,1.4375,Positive
431,G.Chili,Sterile,GC2,C,Sterile,GC2_3,4,GC2_3_4,S,A3,1,0.03,27.9,1.23,29.16,1.26,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-7.78,Negative
438,G.Chili,Winterfell,GC2,C,GC2_8,GC2_7,4,GC2_7_4,P,A7,1,0.1,52.07,1.18,53.35,1.28,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,16.39,Positive
244,Norkodah,Hancock,N1,M,R1_6,R1_6,2,R1_6_2,P,A6,3,0.12,38.02,1.18,39.32,1.3,,NA,NA,NA,NA,NA,NO PLANT,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-7.285,Negative
488,Wac 663,Sterile,WA1,A,Sterile,WA1_5,4,WA1_5_4,S,B5,1,0.17,0,1.15,1.32,1.32,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,3.89,4,1.339981343,-3.89,Negative
421,G.Chili,Hancock,GC1,C,GC1_3,GC1_3,4,GC1_3_4,N,C3,1,0.2,36.94,1.13,38.27,1.33,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,1.26,Positive
396,Wac 5,Winterfell,W2,A,W2_7,W2_7,3,W2_7_3,P,A7,2,0.07,1.61,1.26,2.94,1.33,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,-10.05,Negative
87,Burbank,Hancock,B1,M,B1_1,B1_7,2,B1_7_2,N,A7,1,0.22,36.63,1.17,38.02,1.39,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,-9.305,Negative
528,Papa Cacho,Sterile,PC1,C,Sterile,PC1_10,4,PC1_10_4,S,A10,2,0.11,27.91,1.28,29.3,1.39,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,25.55,3,4.01661964,2.36,Positive
434,G.Chili,Winterfell,GC2,C,GC2_4,GC2_5,4,GC2_5_4,N,A5,1,0.1,24.87,1.3,26.27,1.4,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-10.81,Negative
271,Cor.C 95,Hancock,CC1,C,CC1_1,CC1_6,3,CC1_6_3,N,A6,1,0.11,0,1.3,1.41,1.41,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,Neutral
460,Ranger,Hancock,R1,M,R1_7,R1_1,4,R1_1_4,N,E1,1,0.04,26.18,1.4,27.62,1.44,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-3.7325,Negative
511,Cor.C 95,Winterfell,CC2,C,CC2_5,CC2_3,4,CC2_3_4,N,F3,2,0.19,17.07,1.28,18.54,1.47,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.9725,4,8.782117602,2.0975,Positive
498,Burbank,Sterile,B1,M,Sterile,B1_3,4,B1_3_4,S,G3,2,0.31,35.12,1.18,36.61,1.49,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,24.815,4,6.683149831,10.305,Positive
